year,country,Crecimiento PIB anual (%),Exportaciones (% PIB),Gasto en educación (% PIB),Gasto en salud (% PIB),Gasto público (% PIB),Inflación anual (%),PIB per cápita (PPA),Población Total,Pobreza ($6.85/día),Pobreza Extrema ($2.15/día),Pobreza Línea Nacional,Pobreza Moderada ($3.65/día),Pobreza Multidimensional,Privación Agua Potable,Privación Educación - Logro,Privación Educación - Matrícula,Privación Electricidad,Privación Pobreza Monetaria,Privación Saneamiento,Tasa Desempleo
1966,BOL,7.17058966306621,21.2578616352201,,,,6.95187165775404,,4199550.0,,,,,,,,,,,,
1966,BRA,6.7000000000001,6.53020390757968,,,,,,86139359.0,,,,,,,,,,,,
1966,CHL,11.4634218589357,14.1540048756479,,,,,,9181722.0,,,,,,,,,,,,
1966,COL,5.23673586229452,9.98157876782425,,,,16.7281682748598,,18702688.0,,,,,,,,,,,,
1966,ECU,-0.33952563927852,10.4856999890863,,,,5.45372692773346,,5463748.0,,,,,,,,,,,,
1966,PER,8.2389204457594,15.5631265094855,,,,8.84060374922209,,12101297.0,,,,,,,,,,,,
1966,PRY,1.99150333527275,13.2465674082655,,,,2.87319422160326,,2177584.0,,,,,,,,,,,,
1966,URY,3.06285593493642,17.1282051282051,,,,73.4626932061085,,2707646.0,,,,,,,,,,,,
1966,VEN,1.51025011101886,27.6720821945541,,,,,,10024854.0,,,,,,,,,,,,
1967,ARG,3.19199662339177,7.4955962262493,,,,,,22799059.0,,,,,,,,,,,,
1967,BOL,6.31721951733537,22.4969372981401,,,,11.1999999990001,,4292572.0,,,,,,,,,,,,
1967,BRA,4.2,5.67719217542334,,,,,,88446124.0,,,,,,,,,,,,
1967,CHL,3.58811073177469,13.8754979421584,,,,,,9348939.0,,,,,,,,,,,,
1967,COL,4.13486416579858,11.2124869828647,,,,8.32819136425948,,19235618.0,,,,,,,,,,,,
1967,ECU,4.62107394346161,10.1071865699827,,,,3.81813815731002,,5629057.0,,,,,,,,,,,,
1967,PER,3.85256440782895,15.4237640292426,,,,9.78360256063414,,12448814.0,,,,,,,,,,,,
1967,PRY,9.15036720414034,12.2186961354447,,,,1.36526759221905,,2229994.0,,,,,,,,,,,,
1967,URY,-3.65683411281653,14.6094215861658,,,,89.2752972850379,,2732277.0,,,,,,,,,,,,
1967,VEN,2.83386903098896,27.2,,,,,,10358513.0,,,,,,,,,,,,
1968,ARG,4.82250077932424,6.48445346277515,,,,,,23150583.0,,,,,,,,,,,,
1968,BOL,8.52944308831111,19.7802197802198,,,,5.47062350162299,,4388944.0,,,,,,,,,,,,
1968,BRA,9.79999999999998,5.99087444407956,,,,,,90741240.0,,,,,,,,,,,,
1968,CHL,3.57371701447551,13.5209343390996,,,,,,9514716.0,,,,,,,,,,,,
1968,COL,5.93311799878289,11.7731869580441,,,,7.4475387831777,,19766796.0,,,,,,,,,,,,
1968,ECU,1.90943839737609,11.0421655960631,,,,4.31765612971037,,5799680.0,,,,,,,,,,,,
1968,PER,0.152237710931757,18.1087568279364,,,,19.086618545438,,12803993.0,,,,,,,,,,,,
1968,PRY,4.52707384188076,12.3543480927266,,,,0.708073577854366,,2282391.0,,,,,,,,,,,,
1968,URY,1.88891174472745,15.1826792963464,,,,125.336991126492,,2754606.0,,,,,,,,,,,,
1968,VEN,7.33723265821675,25.2877865131215,,,,,,10697530.0,,,,,,,,,,,,
1969,ARG,9.67952601078326,6.3987133165299,,,,,,23508711.0,,,,,,,,,,,,
1969,BOL,4.47409732886864,20.4183266932271,,,,2.20974847251324,,4488232.0,,,,,,,,,,,,
1969,BRA,9.49999999999993,6.67156538418794,,,,,,93045777.0,,,,,,,,,,,,
1969,CHL,4.10317976748962,15.8956424620006,,,,,,9680282.0,,,,,,,,,,,,
1969,COL,6.10251730873333,12.5393813547186,,,,6.98166307955375,,20291942.0,,,,,,,,,,,,
1969,ECU,4.66923798208919,8.502945502182,,,,6.32668144851309,,5975236.0,,,,,,,,,,,,
